portName,log,lat,asOcount,asDcount,total
"Cape Charles, VA",-76.017028809,37.267131805,0,3,3
Carmona,-5.6433800000000005,37.470879,0,1,1
Cebu Island,123.68490200000001,10.34709,0,1,1
"Charleston, NC",-77.375701904,36.120368958,0,1,1
"Charlestown, MA",-71.0640106201172,42.3795204162598,0,1,1
Chichester,-0.7754300000000001,50.836159,0,2,2
Courseulles-sur-Mer,-0.45779,49.334339,0,1,1
Denmark,11.633980000000001,56.15554,0,1,1
Dumfries and Galloway,-4.0533339999999995,55.02295600000001,0,1,1
Dundee,-2.9676099999999996,56.461369,0,3,3
Ecklak,9.262715,53.954386,0,1,1
"Elk River, Maryland",-76.716492,39.223746999999996,0,1,1
Enkhuizen,5.29013,52.703678000000004,0,1,1
Essequibo Islands,-58.443989,6.892860000000001,0,1,1
Essex,0.61365783215,51.801189423000004,0,1,1
"Exeter, Devon",-3.53021,50.719840999999995,0,5,5
"Falmouth, Cornwall",-5.080030000000001,50.152221999999995,0,2,2
Faro,11.99005,54.950219999999995,0,1,1
"Feroy, Mandal",7.48919330000001,57.9938814,0,1,1
"Flamborough Head, Yorkshire",-0.12339000000000001,54.116631000000005,0,1,1
